Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
615436,3105178,100861428,PERMIT - EASY PERMIT PROCESS,2020-02-05T00:00:00.000,2020-02-05T00:00:00.000,2346.0,GRAND AVE,,REVISION TO ALTERNATIVE CODE.PERMIT#100812037.DRAINAGE AND VENT PIPE FITTING FOR EXTERIOR & INTERIOR WORK.,0.0,75.0,242900.0,26.0,1160468.8167799795,1903454.017317806,2020,2,5,0,1
615780,3105843,100861835,PERMIT - EASY PERMIT PROCESS,2020-02-07T00:00:00.000,2020-02-07T00:00:00.000,3038.0,OCTAVIA AVE,,"PLUMBING ONLY--REMOVE PVC DRAIN AND CLAY PIT. INSTALL NEW 18 X 30 EJECTOR PIT AND NEW 4"" CAST IRON LATERAL FOR LAUNDRY & FLOOR DRAIN.PLUMBING ONLY,SUBJECT TO FIELD INSPECTION.",0.0,225.0,170900.0,29.0,1126844.796744628,1919570.2834812507,2020,2,7,0,1
615784,3105847,100861839,PERMIT - EASY PERMIT PROCESS,2020-02-07T00:00:00.000,2020-02-07T00:00:00.000,3927.0,CICERO AVE,,"ALTERNATIVE CODE APPROVAL FOR 100821085: USE SCHEDULE 40 PVC BELOW & ABOVE GRADE DRAINS, VENT, DISCHARGE FROM PUMPS, STORM SYSTEM",0.0,75.0,831700.0,45.0,1143703.5096426427,1925779.8711272008,2020,2,7,0,1
615807,3105943,100861868,PERMIT - EASY PERMIT PROCESS,2020-02-07T00:00:00.000,2020-02-07T00:00:00.000,2429.0,AUGUSTA BLVD,,REVISION TO ALTERNATIVE CODE PVC PIPE ANDPIPE FITTING FRO ALL ABOVE AND ABLOW GROUND DRAINAGE WASTE AND VENT.,0.0,75.0,242500.0,26.0,1159902.197110409,1906539.1880670683,2020,2,7,0,1
615818,3106001,100861884,PERMIT - EASY PERMIT PROCESS,2020-02-07T00:00:00.000,2020-02-07T00:00:00.000,5555.0,SHERIDAN RD,,"WORK IN UNIT #717 REPLACEMENT OF 1 WATER CLOSET,1 LAV,1 TUB AND INSTALL A NEW TUB VALVE AND DRAIN TO TUB. SAME LOCATION PLUMBING ONLY,SUBJECT TO FIELD INSPECTION.",0.0,225.0,30706.0,48.0,1168669.3740073768,1937278.087856825,2020,2,7,0,1
615868,3106092,100861943,PERMIT - RENOVATION/ALTERATION,2020-02-11T00:00:00.000,2020-08-18T00:00:00.000,2644.0,RICHMOND ST,,"INTERIOR RENOVATION TO BASEMENT OF TYPE III-B CLASS A-1 SINGLE FAMILY DWELLING; NO CHANGE IN USE OR OCCUPANCY. WORK INCLUDES: 1. REPLACEMENT OF EXISTING BASEMENT WINDOWS AND NEW WINDOWS IN NEW OPENINGS. 2. NEW INTERIOR FINISHES INCLUDING CABINETS, COUNTERS AND TILE. 3. INSTALLATION OF NEW BATHROOM AND UNDERSLAB DRAINAGE. 4. NEW ELECTRICAL DISTRIBUTION THROUGHOUT BASEMENT. 5. MODIFICATIONS TO EXISTING HVAC EQUIPMENT. 6. REPLACEMENT OF EXISTING CONCRETE SLAB, BEAMS, COLUMNS, AND FOOTINGS, NEW LINTELS AT ENLARGED MASONRY OPENINGS.CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",0.0,550.0,220400.0,32.0,1156205.097614023,1917713.946655992,2020,8,18,0,1
615928,3106203,100862018,PERMIT - EASY PERMIT PROCESS,2020-02-10T00:00:00.000,2020-02-10T00:00:00.000,1732.0,WHIPPLE ST,,"REPAIR AND OR REPLACE DRYWALL IN EXISTING 3 UNIT BUILDING AND REPLACE LIGHT LIGHTH FIXTURES AND REPLACE 3 TOILETS AND 3 SINKS, REPLACE FURNACE AND REPAIR ROOF MEMBRAINE AND GENERAL UPGRADE AS REQUIRED",0.0,225.0,230100.0,26.0,1155650.7796446388,1911495.4052693008,2020,2,10,0,1
615952,3106237,100862045,PERMIT - EASY PERMIT PROCESS,2020-02-10T00:00:00.000,2020-02-10T00:00:00.000,3916.0,MONTICELLO AVE,,REVISION TO PERMIT#100804143 ALT. CODE APPROVAL:USE PVC SCHEDULE 40 SOLID CORE FOR UNDERGROUND DRAINS AND VENTS IN BASEMENT NEW UNDERGROUND PLUMBING SYSTEM.,0.0,75.0,160900.0,45.0,1151317.8164210662,1925872.603213093,2020,2,10,0,1
616072,3106468,100862183,PERMIT - EASY PERMIT PROCESS,2020-02-10T00:00:00.000,2020-02-10T00:00:00.000,3710.0,CORNELIA AVE,,"REVISION TO PERMIT#100805732 ALT. CODE APPROVAL:SEWER LINE 6""CLAY PIPE (EXISTING) INSTALL SHER COUPLING 6"" TO 4""PVC. SCHEDULE 40 PVC. INSTALL INJECTOR (FLOOR DRAINS) ADD PLUMBER AQUARIUS SERVICE INC",0.0,150.0,831100.0,30.0,1150980.2990000718,1923054.42775273,2020,2,10,0,1
616239,3106769,100862381,PERMIT - EASY PERMIT PROCESS,2020-02-11T00:00:00.000,2020-02-11T00:00:00.000,2528.0,ARTESIAN AVE,,REVISION TO ALTERNATIVE CODE PVC FOR DRAINAGE/VENT/VENT PIPE/INTERIOR & EXTERIOR.PERMIT #100824345,0.0,75.0,830900.0,32.0,1159556.752966723,1916882.1064919224,2020,2,11,0,1
