Unnamed: 0,id,permit_,permit_type,application_start_date,issue_date,street_number,street_name,work_type,work_description,subtotal_waived,total_fee,census_tract,ward,xcoordinate,ycoordinate,issue_year,issue_month,issue_day,is_solar,is_flood
172851,2116667,100318672,PERMIT - NEW CONSTRUCTION,2009-12-21T00:00:00.000,2009-12-21T00:00:00.000,1440.0,ASHLAND AVE,,INSTALLATION OF TWO WIND TURBINES AND TWO SOLAR PANELS.,0.0,1825.0,2415.0,1.0,1165419.1328455838,1909858.822996417,2009,12,21,1,0
174592,2122362,100320772,PERMIT - RENOVATION/ALTERATION,2010-01-25T00:00:00.000,2010-01-28T00:00:00.000,1621.0,WABANSIA AVE,,ERECT ONE WIND GENERATOR AND TWO PHOTOVOLTAIC SOLAR PANELS ON EXISTING SCHOOL- BURR ELEMENTARY,575.0,575.0,2402.0,1.0,1165168.4643544313,1911344.180571652,2010,1,28,1,0
175510,2125266,100322017,PERMIT - RENOVATION/ALTERATION,2009-11-30T00:00:00.000,2009-11-30T00:00:00.000,14.0,95TH ST,,INSTALL NEW PHOTOVOLTAIC PANELS ON THE ROOF OF A RAPID TRANSIT STATION.  4 ARRAYS OF 20 SOLAR PANELS EACH FOR A TOTAL OF 80 SOLAR PANELS.,0.0,2075.0,4902.0,21.0,1177738.2690106027,1841988.0741773504,2009,11,30,1,0
183219,2147843,100331921,PERMIT - RENOVATION/ALTERATION,2010-04-05T00:00:00.000,2010-06-14T00:00:00.000,3744.0,SOUTHPORT AVE,,ADDITION OF SOLAR PANELS ONTO AN EXISTING ROOF - AS PER PLANS.,0.0,1260.77,604.0,44.0,1166257.043517979,1925161.173627088,2010,6,14,1,0
183674,2148957,100332534,PERMIT - RENOVATION/ALTERATION,2010-03-03T00:00:00.000,2010-03-03T00:00:00.000,2350.0,GRAND AVE,,INSTALLATION OF (1) SOLAR THERMAL ARRAY ON EXISTING (3) STORY BUILDING CONTAINING (4) D.U. AND (1) COMMERCIAL UNIT.  SOLAR THERMAL ARRAY CONSISTS OF (4) PANELS.,0.0,575.0,2429.0,26.0,1160422.708941643,1903451.992207936,2010,3,3,1,0
184423,2150830,100333451,PERMIT - RENOVATION/ALTERATION,2010-03-10T00:00:00.000,2010-03-17T00:00:00.000,5501.0,KEDZIE AVE,,ADDITION OF SOLAR THERMAL PANELS TO EXISTING CPS SCHOOL- NORTHSIDE COLLEGE PREP HIGH SCHOOL.  7 ASSEMBLIES OF 7 SOLAR THERMAL PANELS AND 7 ASSEMBLIES OF 8 SOLAR THERMAL PANELS FOR A TOTAL OF 105 SOLAR THERMAL PANELS.,4575.0,4575.0,1304.0,40.0,1154090.8590346896,1936413.8663721548,2010,3,17,1,0
184590,2151251,B100333644,PERMIT – EXPRESS PERMIT PROGRAM,2010-03-11T00:00:00.000,2010-03-11T00:00:00.000,5501.0,KEDZIE AVE,Electrical Work,ELECTRICAL WORK - BRING POWER TO EXISTING LIGHT POLES ON RIVERWALK. REMOVE OLD SOLAR EQUIPMENT AND REPLACE WITH LED LIGHTING.,0.0,200.0,130400.0,39.0,1154090.8590346896,1936413.8663721548,2010,3,11,1,0
184921,2152069,100334033,PERMIT - NEW CONSTRUCTION,2010-03-23T00:00:00.000,2010-05-05T00:00:00.000,1827.0,FREMONT ST,,NEW CONSTRUCTION OF (3) STORY WITH BASEMENT SINGLE FAMILY RESIDENCE WITH ATTACHED (3) CAR GARAGE.  GREEN ROOF ON GARAGE.  (1) ARRAY OF (4) SOLAR THERMAL PANELS ON HOUSE ROOF.  GREEN PERMIT PROGRAM BENEFIT TIER II.,2324.61,2474.61,719.0,43.0,1170056.424514991,1912203.5002772713,2010,5,5,1,0
185762,2154091,B100335085,PERMIT – EXPRESS PERMIT PROGRAM,2010-03-22T00:00:00.000,2010-03-22T00:00:00.000,2036.0,CLIFTON AVE,Electrical Work,INSTALLATION OF 12KW ROOF MOUNTED SOLAR ARRAY.,0.0,50.0,71000.0,43.0,1168266.9146141163,1913855.0685525637,2010,3,22,1,0
187418,2158199,B100337346,PERMIT – EXPRESS PERMIT PROGRAM,2010-04-05T00:00:00.000,2010-04-05T00:00:00.000,2210.0,CALIFORNIA AVE,Electrical Work,PROVIDE THE NECCESARY CONDUIT AND WIRING FOR SOLAR PANEL SET UP.,0.0,200.0,221300.0,1.0,1157295.018942582,1914816.793245656,2010,4,5,1,0
