NAME,median_household_income,per_capita_income,population_below_poverty,poverty_universe,median_property_value,median_gross_rent,unemployed,labor_force,total_population,pop_white_alone,pop_black_alone,pop_aian_alone,pop_asian_alone,pop_nhpi_alone,pop_other_alone,pop_two_or_more_races,pop_hispanic_latino,education_universe,edu_high_school_diploma,edu_ged,edu_some_college_lt1yr,edu_some_college_gt1yr,edu_associates,edu_bachelors,edu_masters,edu_professional,edu_doctorate,state,county,tract,GEOID,poverty_rate,unemployment_rate,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelors_plus,pct_no_hs
Census Tract 407; Cook County; Illinois,105365,63754,343,3666,391400,1763,177,2618,3681,2662,90,0,357,0,197,375,330,2588,158,20,85,261,47,988,731,148,78,17,031,040700,17031040700,0.09356246590289144,0.06760886172650879,0.7231730508014127,0.02444987775061125,0.09698451507742462,0.08964955175224124,0.7515455950540958,0.02782071097372485
Census Tract 408; Cook County; Illinois,114397,80804,24,1664,514400,1559,40,1260,1670,1271,18,4,125,0,70,182,188,1364,71,60,11,89,40,636,293,113,40,17,031,040800,17031040800,0.014423076923076924,0.031746031746031744,0.7610778443113773,0.010778443113772455,0.0748502994011976,0.1125748502994012,0.7932551319648093,0.008064516129032251
Census Tract 409; Cook County; Illinois,86359,71730,146,2246,648000,1342,103,1547,2267,1811,78,0,57,0,0,321,292,1766,107,27,35,137,67,768,417,156,36,17,031,040900,17031040900,0.06500445235975066,0.06658047834518423,0.7988531098367887,0.03440670489633877,0.025143361270401413,0.12880458756065286,0.7797281993204983,0.009060022650056676
Census Tract 501; Cook County; Illinois,116438,80992,112,2163,627500,1730,87,1621,2163,1753,42,0,57,0,89,222,207,1737,85,6,26,210,83,811,358,95,29,17,031,050100,17031050100,0.05177993527508091,0.05367057371992597,0.8104484512251503,0.019417475728155338,0.026352288488210817,0.0957004160887656,0.7443868739205527,0.01957397812320094
Census Tract 502; Cook County; Illinois,133708,79799,433,5862,731500,1706,105,3056,5862,4523,194,0,331,0,101,713,687,3900,106,0,58,279,101,1632,1023,374,130,17,031,050200,17031050200,0.07386557488911634,0.034358638743455495,0.7715796656431252,0.03309450699419993,0.056465370180825654,0.11719549641760492,0.81,0.05051282051282047
Census Tract 503; Cook County; Illinois,151630,81763,128,2967,631700,1645,21,1876,2973,1721,99,0,506,0,216,431,566,2205,172,33,102,131,90,979,384,164,83,17,031,050300,17031050300,0.043141220087630605,0.011194029850746268,0.5788765556676757,0.033299697275479316,0.1701984527413387,0.19038008745375043,0.7301587301587301,0.03038548752834469
Census Tract 505; Cook County; Illinois,141563,96416,121,5221,968200,1852,104,2934,5221,4306,1,0,327,0,199,388,395,3404,212,4,30,162,146,1369,997,289,155,17,031,050500,17031050500,0.023175636851177937,0.0354464894342195,0.8247462171997701,0.0001915341888527102,0.06263167975483624,0.07565600459682054,0.8254994124559342,0.011750881316098694
Census Tract 506; Cook County; Illinois,137083,96473,129,2365,450500,1980,99,1772,2375,1888,23,0,156,0,69,239,152,1960,161,22,38,26,75,1061,359,169,33,17,031,050600,17031050600,0.05454545454545454,0.055869074492099324,0.7949473684210526,0.00968421052631579,0.06568421052631579,0.064,0.8275510204081633,0.008163265306122436
Census Tract 507; Cook County; Illinois,135653,85061,149,1470,702700,1925,49,1049,1470,1208,15,0,54,0,10,183,172,1161,38,0,44,21,19,620,271,81,42,17,031,050700,17031050700,0.10136054421768707,0.04671115347950429,0.8217687074829932,0.01020408163265306,0.036734693877551024,0.11700680272108843,0.8733850129198967,0.021533161068044815
Census Tract 508; Cook County; Illinois,190469,77614,28,1448,987100,2370,41,831,1448,1017,9,1,66,0,36,319,331,841,24,13,1,70,28,391,186,37,56,17,031,050800,17031050800,0.019337016574585635,0.049338146811071,0.7023480662983426,0.006215469613259668,0.04558011049723757,0.2285911602209945,0.7966706302021404,0.041617122473246115
Census Tract 509; Cook County; Illinois,132258,92671,65,1405,856300,1750,6,951,1456,1140,35,0,42,0,7,232,110,1083,30,0,44,116,35,492,241,96,6,17,031,050900,17031050900,0.046263345195729534,0.006309148264984227,0.782967032967033,0.02403846153846154,0.028846153846153848,0.07554945054945054,0.7710064635272391,0.02123730378578026
Census Tract 510; Cook County; Illinois,186458,111493,52,1641,771600,1866,17,1101,1641,1223,94,5,149,0,30,140,75,1206,54,18,13,29,60,540,268,154,55,17,031,051000,17031051000,0.031687995124923825,0.015440508628519528,0.7452772699573431,0.05728214503351615,0.09079829372333943,0.04570383912248629,0.8432835820895522,0.01243781094527363
Census Tract 511; Cook County; Illinois,161900,83665,153,1846,740200,1610,45,1174,1851,1286,17,0,74,0,111,363,380,1249,36,22,33,32,55,611,271,149,8,17,031,051100,17031051100,0.0828819068255688,0.03833049403747871,0.6947595894111291,0.009184224743381956,0.039978390059427334,0.20529443544030254,0.8318654923939152,0.02562049639711772
Census Tract 512; Cook County; Illinois,176571,99340,95,1486,718800,2050,60,1010,1536,1193,34,6,84,0,29,190,169,1142,51,9,24,35,38,528,306,89,40,17,031,051200,17031051200,0.0639300134589502,0.0594059405940594,0.7766927083333334,0.022135416666666668,0.0546875,0.11002604166666667,0.8432574430823118,0.019264448336252182
Census Tract 513; Cook County; Illinois,147386,97104,61,2810,750600,1932,138,1524,2810,2244,129,0,36,0,218,183,515,1860,53,0,52,70,49,842,441,167,61,17,031,051300,17031051300,0.021708185053380784,0.09055118110236221,0.798576512455516,0.045907473309608544,0.012811387900355872,0.18327402135231316,0.8123655913978495,0.06720430107526887
Census Tract 514; Cook County; Illinois,167194,89126,159,2606,630900,2118,14,1629,2606,1862,138,8,280,0,132,186,262,1648,47,9,13,163,53,825,396,71,24,17,031,051400,17031051400,0.06101304681504221,0.008594229588704727,0.7145049884881044,0.052954719877206444,0.10744435917114352,0.10053722179585571,0.7985436893203883,0.02851941747572817
Census Tract 601; Cook County; Illinois,157917,104763,102,2895,667000,1728,43,1927,2895,2351,30,0,112,0,100,302,383,2147,94,5,0,83,117,986,606,181,41,17,031,060100,17031060100,0.035233160621761656,0.022314478463933574,0.8120898100172712,0.010362694300518135,0.0386873920552677,0.13229706390328153,0.8448998602701444,0.01583605030274804
